순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
118	김대륙	롯데	3루수	16	3	49 1/3	3	0	1	8	1	0.750	0	0	0	-
123	류지혁	두산	2루수	15	1	36 2/3	1	0	6	13	4	0.950	0	0	0	-
123	황윤호	NC	유격수	15	0	24	1	0	3	8	2	0.917	0	0	0	-
123	김주형	KIA	1루수	15	8	56	0	0	48	3	7	1.000	0	0	0	-
123	로맥	SK	3루수	15	5	67	4	0	7	19	3	0.867	0	0	0	-
123	임익준	한화	2루수	15	6	67	0	0	22	20	7	1.000	0	0	0	-
123	김대륙	롯데	2루수	15	2	57 2/3	0	0	14	21	5	1.000	0	0	0	-
123	황진수	롯데	1루수	15	0	29 2/3	0	0	31	2	3	1.000	0	0	0	-
130	신성현	두산	1루수	14	9	71	0	0	64	11	9	1.000	0	0	0	-
130	이상호	NC	유격수	14	3	44	1	0	2	5	0	0.875	0	0	0	-
130	조평호	NC	3루수	14	8	57 1/3	2	0	6	20	2	0.929	0	0	0	-
133	이상호	NC	3루수	13	6	57	1	0	2	5	0	0.875	0	0	0	-
133	조영훈	NC	1루수	13	9	73	1	0	83	6	9	0.989	0	0	0	-
133	조평호	NC	1루수	13	3	47	0	0	37	1	5	1.000	0	0	0	-
133	김웅빈	넥센	2루수	13	9	61 1/3	0	0	12	10	2	1.000	0	0	0	-
133	최원준	KIA	유격수	13	9	74 2/3	2	0	8	23	3	0.939	0	0	0	-
133	한동민	SK	1루수	13	6	62	3	0	65	4	5	0.958	0	0	0	-
133	문규현	롯데	2루수	13	12	98 1/3	0	0	23	28	8	1.000	0	0	0	-
133	번즈	롯데	3루수	13	10	75	0	0	5	18	1	1.000	0	0	0	-
133	황진수	롯데	2루수	13	6	51 2/3	2	0	9	19	5	0.933	0	0	0	-
142	서예일	두산	유격수	12	3	51	1	0	9	27	5	0.973	0	0	0	-
142	김지수	넥센	유격수	12	2	39	0	0	6	7	3	1.000	0	0	0	-
142	고장혁	KIA	2루수	12	0	24	0	0	5	10	2	1.000	0	0	0	-
142	김태균	한화	1루수	12	12	103 2/3	1	0	100	5	13	0.991	0	0	0	-
142	김정혁	삼성	1루수	12	7	62 2/3	0	0	66	3	8	1.000	0	0	0	-
142	이성규	삼성	2루수	12	5	52 2/3	0	0	13	14	5	1.000	0	0	0	-
148	신성현	두산	3루수	11	5	46 1/3	2	0	2	9	0	0.846	0	0	0	-
148	도태훈	NC	유격수	11	0	39 2/3	1	0	6	12	2	0.947	0	0	0	-
148	김웅빈	넥센	3루수	11	4	39	1	0	5	4	1	0.900	0	0	0	-
